tripID,userID,fecha,origen,destino,km,co2,modo,duracionMin,puntos,icono,sessionID,startTimestamp,endTimestamp,origenLat,origenLon,destinoLat,destinoLon,duracionSeg,durationText,estadoCalculo,co2ConsumidoKg,co2AhorradoKg,tripTypeIcon,carpoolID,esCarpool,numPasajeros,rolCarpool,carpoolDriverSessionID
12,1,2026-05-29,Arrasate,Bergara,8.3,0.7,Autobusa,8,21,🚌,abc-123,2026-05-29T08:10:00Z,2026-05-29T08:18:32Z,43.0647,-2.4898,43.1151,-2.4141,512,00:08:32,CALCULADO,0.7,0.7,👤,,false,1,NONE,
13,1,2026-05-29,Pendiente de calcular,Pendiente de calcular,0.0,0.0,SIN_CALCULAR,1,0,🧭,c9e3d653-ec4b-4c3f-87f2-51c3063752cd,2026-05-29T08:03:05.871Z,2026-05-29T08:03:35.789939300Z,43.062207,-2.506032,43.062053,-2.505939,29,00:00:29,PROCESANDO_SYCD,,,,,,,,
14,1,2026-05-29,Pendiente de calcular,Pendiente de calcular,0.0,0.0,SIN_CALCULAR,1,0,🧭,9710f438-4f7d-4d3d-a78b-cb5f34520d9b,2026-05-29T08:04:11.811Z,2026-05-29T08:04:13.964916100Z,43.061974,-2.505911,43.061974,-2.505911,2,00:00:02,PROCESANDO_SYCD,,,,,,,,
15,1,2026-05-29,Pendiente de calcular,Pendiente de calcular,0.0,0.0,SIN_CALCULAR,1,0,🧭,9ca436f9-c662-4ebd-a849-01cb47137b5a,2026-05-29T08:08:24.032Z,2026-05-29T08:08:30.611870600Z,43.061974,-2.505911,43.061974,-2.505911,6,00:00:06,PROCESANDO_SYCD,,,,,,,,
16,1,2026-05-29,Arrasate/MondragÃ³n,Arrasate/MondragÃ³n,0.0,0.0,SIN_CALCULAR,1,0,🧭,177d7021-c35d-4cce-905f-1f7595847e62,2026-05-29T08:20:20.147Z,2026-05-29T08:20:24.823190600Z,43.061974,-2.505911,43.061974,-2.505911,4,00:00:04,REINTENTAR_SYCD,,,,,,,,
17,8,2026-05-29,Arrasate,Arrasate,0.0,0.0,SIN_CALCULAR,1,0,🧭,083204b3-41fc-4574-b60e-d5319cd281e7,2026-05-29T08:55:01.635Z,2026-05-29T08:55:29.898Z,43.061974,-2.505911,43.062122,-2.506031,28,00:00:28,PROCESANDO_SYCD,,,,,,,,
18,8,2026-06-01,Arrasate,Arrasate,0.0,0.0,SIN_CALCULAR,1,0,🧭,8f7961c1-5dc7-45b9-88a3-f80243dd7f9d,2026-06-01T07:04:36.336Z,2026-06-01T07:04:47.558Z,43.062134,-2.506018,43.062065,-2.505941,11,00:00:11,PROCESANDO_SYCD,,,,,,,,
19,8,2026-06-02,Arrasate,Arrasate,0.0,0.0,Oinez,4,1,🚶,6cae0455-11e7-4bbc-9768-6893d7298a8b,2026-06-02T09:10:34.513Z,2026-06-02T09:14:57.106Z,43.061870,-2.505928,43.061959,-2.505944,262,00:04:22,CALCULADO,,,,,,,,
20,8,2026-06-03,Arrasate,Arrasate,0.0,0.0,Oinez,2,1,🚶,3f976aa5-a77f-4d9c-ae1d-164a56ad48cd,2026-06-03T06:36:21.069Z,2026-06-03T06:38:28.220Z,43.062118,-2.506035,43.062114,-2.506052,127,00:02:07,CALCULADO,,,,,,,,
21,11,2026-06-03,Arrasate,Arrasate,0.3,0.1,Oinez,2,3,🚶,9f605817-6956-449c-aee6-9a46b054c863,2026-06-03T07:03:23.392Z,2026-06-03T07:05:25.735Z,43.061770,-2.505917,43.062660,-2.507270,122,00:02:02,CALCULADO,,,,,,,,
22,1,2026-06-03,Arrasate,Arrasate,0.0,0.0,Oinez,1,1,🚶,b62789ce-3798-4c7a-ac03-561a5b1bf521,2026-06-03T07:10:38.838Z,2026-06-03T07:10:51.023Z,43.063747,-2.508461,43.063747,-2.508461,12,00:00:12,CALCULADO,,,,,,,,
23,1,2026-06-03,Arrasate,Arrasate,3.0,0.0,SIN_CALCULAR,9,0,🧭,8d6fdc27-9d5d-4f91-81d1-bf0ccaa8e78f,2026-06-03T07:11:48.101Z,2026-06-03T07:20:43.413Z,43.063747,-2.508461,43.071854,-2.473092,535,00:08:55,PROCESANDO_SYCD,,,,,,,,
23,1,2026-06-03,Arrasate,Arrasate,3.0,0.0,SIN_CALCULAR,9,0,🧭,8d6fdc27-9d5d-4f91-81d1-bf0ccaa8e78f,2026-06-03T07:11:48.101Z,2026-06-03T07:20:43.193Z,43.063747,-2.508461,43.071854,-2.473092,535,00:08:55,PROCESANDO_SYCD,,,,,,,,
24,1,2026-06-03,Arrasate,Arrasate,3.0,0.0,SIN_CALCULAR,9,0,🧭,8d6fdc27-9d5d-4f91-81d1-bf0ccaa8e78f,2026-06-03T07:11:48.101Z,2026-06-03T07:20:43.944Z,43.063747,-2.508461,43.071854,-2.473092,535,00:08:55,PROCESANDO_SYCD,,,,,,,,
25,11,2026-06-03,Arrasate,Aretxabaleta,3.3,0.0,SIN_CALCULAR,3,0,🧭,2a00ae60-fcdd-4b8b-836e-465ab62f3d24,2026-06-03T07:28:16.761Z,2026-06-03T07:31:17.151Z,43.071724,-2.473199,43.049228,-2.497273,180,00:03:00,PROCESANDO_SYCD,,,,,,,,
26,1,2026-06-03,Arrasate,Arrasate,0.0,0.0,Oinez,1,1,🚶,b6369649-50aa-4a33-aba6-c5bfd5989a88,2026-06-03T09:34:57.457Z,2026-06-03T09:35:00.837Z,43.062045,-2.505971,43.062045,-2.505971,3,00:00:03,CALCULADO,,,,,,,,
27,12,2026-06-03,Arrasate,Arrasate,0.0,0.0,Oinez,1,1,🚶,1234c9ed-bbcb-42bf-86c4-61cf6684245c,2026-06-03T09:52:21.435Z,2026-06-03T09:53:08.795Z,43.062082,-2.506037,43.062082,-2.506037,47,00:00:47,CALCULADO,,,,,,,,
28,12,2026-06-03,Arrasate,Arrasate,0.0,0.0,Oinez,3,1,🚶,fbba359c-a3fc-4214-95ff-c52cfb5a8c6c,2026-06-03T10:07:41.215Z,2026-06-03T10:10:24.129Z,43.062143,-2.506049,43.062168,-2.506052,162,00:02:42,CALCULADO,,,,,,,,
29,1,2026-06-03,Arrasate,Arrasate,0.0,0.0,Oinez,2,1,🚶,be90ab7c-fcc1-4978-a588-aa7546d55d7d,2026-06-03T10:23:21.906Z,2026-06-03T10:25:24.805Z,43.062168,-2.506052,43.062048,-2.505985,122,00:02:02,CALCULADO,,,,,,,,
30,12,2026-06-03,Arrasate,Arrasate,1.0,0.0,Autoa,4,0,🚘,a5394f5f-4373-4417-bd7e-326be692a585,2026-06-03T10:54:00.008Z,2026-06-03T10:57:47.318Z,43.062450,-2.506135,43.061014,-2.494503,227,00:03:47,CALCULADO,,,,,,,,
31,11,2026-06-04,Arrasate,Arrasate,0.0,0.0,Oinez,1,1,🚶,9a7c657b-d440-48a3-8d5c-ce86c4d1907d,2026-06-04T07:45:02.639Z,2026-06-04T07:45:26.403Z,43.061883,-2.505922,43.061946,-2.505912,23,00:00:23,CALCULADO,0.0,0.0,👥,8,true,2,DRIVER,
31,12,2026-06-04,Arrasate,Arrasate,0.0,0.0,Oinez,1,1,🚶,856a9ca9-c5dc-48ba-b5fb-320af580a210,2026-06-04T07:45:05.314Z,2026-06-04T07:45:23.148Z,43.061883,-2.505922,43.061946,-2.505912,17,00:00:17,CALCULADO,0.0,0.0,👥,8,true,2,DRIVER,
32,11,2026-06-04,Arrasate,Arrasate,0.0,0.0,Oinez,1,1,🚶,856a9ca9-c5dc-48ba-b5fb-320af580a210-P11,2026-06-04T07:45:05.314Z,2026-06-04T07:45:23.148Z,43.061883,-2.505922,43.061946,-2.505912,17,00:00:17,CALCULADO,0.0,0.0,👥,8,true,2,PASSENGER,856a9ca9-c5dc-48ba-b5fb-320af580a210
33,11,2026-06-04,Arrasate,Arrasate,0.0,0.0,Oinez,1,1,🚶,2b585b03-8d05-4436-a13c-cc300d492c5e,2026-06-04T07:46:34.343Z,2026-06-04T07:46:38.266Z,43.062013,-2.505931,43.062013,-2.505931,3,00:00:03,CALCULADO,0.0,0.0,👥,8,true,2,DRIVER,
34,11,2026-06-04,Arrasate,Arrasate,0.0,0.0,Oinez,1,1,🚶,b0d59af9-6d11-4576-8ae8-174bd991adcb,2026-06-04T07:46:41.285Z,2026-06-04T07:46:42.787Z,43.062013,-2.505931,43.062013,-2.505931,1,00:00:01,CALCULADO,0.0,0.0,👤,,false,1,NONE,
35,12,2026-06-04,Arrasate,Arrasate,0.0,0.0,Oinez,1,1,🚶,d0d6c443-93b4-4f76-985d-1160b5e5701c,2026-06-04T08:08:50.576Z,2026-06-04T08:10:01.966Z,43.062013,-2.505931,43.061951,-2.505938,71,00:01:11,CALCULADO,0.0,0.0,👥,9,true,2,DRIVER,
36,13,2026-06-04,Arrasate,Arrasate,0.0,0.0,Oinez,1,1,🚶,d0d6c443-93b4-4f76-985d-1160b5e5701c-P13,2026-06-04T08:08:50.576Z,2026-06-04T08:10:01.966Z,43.062013,-2.505931,43.061951,-2.505938,71,00:01:11,CALCULADO,0.0,0.0,👥,9,true,2,PASSENGER,d0d6c443-93b4-4f76-985d-1160b5e5701c
37,12,2026-06-04,Arrasate,Arrasate,0.0,0.0,Oinez,1,1,🚶,0cd36929-4722-4273-9cba-6094c0898a0e,2026-06-04T08:11:26.473Z,2026-06-04T08:11:30.022Z,43.061938,-2.505938,43.061938,-2.505938,3,00:00:03,CALCULADO,0.0,0.0,👥,7,true,1,DRIVER,
38,12,2026-06-04,Arrasate,Arrasate,0.0,0.0,Oinez,1,1,🚶,eef80cc1-f17c-42cf-abca-557cc96f48aa,2026-06-04T08:11:41.922Z,2026-06-04T08:11:43.999Z,43.061974,-2.505962,43.061974,-2.505962,2,00:00:02,CALCULADO,0.0,0.0,👥,8,true,2,DRIVER,
39,11,2026-06-04,Arrasate,Arrasate,0.0,0.0,Oinez,1,1,🚶,eef80cc1-f17c-42cf-abca-557cc96f48aa-P11,2026-06-04T08:11:41.922Z,2026-06-04T08:11:43.999Z,43.061974,-2.505962,43.061974,-2.505962,2,00:00:02,CALCULADO,0.0,0.0,👥,8,true,2,PASSENGER,eef80cc1-f17c-42cf-abca-557cc96f48aa
40,14,2026-06-04,Arrasate,Arrasate,0.0,0.0,Oinez,1,1,🚶,e151603e-e606-479c-9868-736903122e88,2026-06-04T08:45:30.289Z,2026-06-04T08:45:56.504Z,43.061975,-2.505962,43.061894,-2.505895,26,00:00:26,CALCULADO,0.0,0.0,👤,,false,1,NONE,
