stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
ES:Euskotren:Place:2576_Vestibulo_H1:,,Atondoa,,San Jose de Lutxana Auzoa / Erandio,43.29135,-2.969773,ES:Euskotren:Zone:2:,,3,ES:Euskotren:StopPlace:2576:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2577_Vestibulo_D1:,,Atondoa,,Plazuela de San Nicolás / Bilbao,43.260025,-2.922042,ES:Euskotren:Zone:3:,,3,ES:Euskotren:StopPlace:2577:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2577_Vestibulo_D2:,,Atondoa,,Plazuela de San Nicolás / Bilbao,43.260025,-2.922042,ES:Euskotren:Zone:3:,,3,ES:Euskotren:StopPlace:2577:,,2,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2577_Vestibulo_H1:,,Atondoa,,Plazuela de San Nicolás / Bilbao,43.26,-2.922112,ES:Euskotren:Zone:3:,,3,ES:Euskotren:StopPlace:2577:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2579_Vestibulo_D1:,,Atondoa,,"Santamañe Kalea, s/n bajo / Bermeo",43.417771,-2.723233,ES:Euskotren:Zone:8:,,3,ES:Euskotren:StopPlace:2579:,,1,ES:Euskotren:Level:Level:Minus1:,
ES:Euskotren:Place:2579_Vestibulo_H1:,,Atondoa,,"Santamañe Kalea, s/n bajo / Bermeo",43.417771,-2.723233,ES:Euskotren:Zone:8:,,3,ES:Euskotren:StopPlace:2579:,,1,ES:Euskotren:Level:Level:Minus1:,
ES:Euskotren:Place:2580_Vestibulo_D1:,,Atondoa,,"Avd. Donostia, 1 bajo / Lasarte-Oria",43.270648,-2.020128,ES:Euskotren:Zone:42:,,3,ES:Euskotren:StopPlace:2580:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2580_Vestibulo_H1:,,Atondoa,,"Avd. Donostia, 1 bajo / Lasarte-Oria",43.270648,-2.020128,ES:Euskotren:Zone:42:,,3,ES:Euskotren:StopPlace:2580:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2581_Area_A1:,,Kanpoaldeko atondoa,,"Plaza Easo, 9 / Donostia-San Sebastián",43.312861,-1.981479,ES:Euskotren:Zone:42:,,3,ES:Euskotren:StopPlace:2581:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2581_Area_A2:,,Komisaldegi ondoko atondoa,,"Plaza Easo, 9 / Donostia-San Sebastián",43.312861,-1.981479,ES:Euskotren:Zone:42:,,3,ES:Euskotren:StopPlace:2581:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2581_Area_A3:,,Kantzelagailuen osteko atondoa,,"Plaza Easo, 9 / Donostia-San Sebastián",43.312861,-1.981479,ES:Euskotren:Zone:42:,,3,ES:Euskotren:StopPlace:2581:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2581_Vestibulo_H1:,,Atondoa,,"Plaza Easo, 9 / Donostia-San Sebastián",43.312861,-1.981479,ES:Euskotren:Zone:42:,,3,ES:Euskotren:StopPlace:2581:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2582_Vestibulo_D1:,,Atondoa,,"Boulevard de Gaulle, s/n / Hendaia",43.352453,-1.782226,ES:Euskotren:Zone:43:,,3,ES:Euskotren:StopPlace:2582:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2582_Vestibulo_H1:,,Atondoa,,"Boulevard de Gaulle, s/n / Hendaia",43.352453,-1.782226,ES:Euskotren:Zone:43:,,3,ES:Euskotren:StopPlace:2582:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2584_Vestibulo_D1:,,Atondoa,,"Calle de María Etxetxiki, 89-91 / Zarautz",43.28367,-2.160177,ES:Euskotren:Zone:41:,,3,ES:Euskotren:StopPlace:2584:,,1,ES:Euskotren:Level:Level:Minus1:,
ES:Euskotren:Place:2584_Vestibulo_H1:,,Atondoa,,"Calle de María Etxetxiki, 89-91 / Zarautz",43.28367,-2.160177,ES:Euskotren:Zone:41:,,3,ES:Euskotren:StopPlace:2584:,,1,ES:Euskotren:Level:Level:Minus1:,
ES:Euskotren:Place:2585_Vestibulo_D1:,,Atondoa,,"San Martin Bidea, 1 / Sondika",43.291855,-2.925258,ES:Euskotren:Zone:2:,,3,ES:Euskotren:StopPlace:2585:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2585_Vestibulo_H1:,,Atondoa,,"San Martin Bidea, 1 / Sondika",43.291828,-2.925175,ES:Euskotren:Zone:2:,,3,ES:Euskotren:StopPlace:2585:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2586_Vestibulo_D1:,,Atondoa,,"Calle Txiki Otaegi, 5 / Amorebieta-Etxano",43.221786,-2.734986,ES:Euskotren:Zone:6:,,3,ES:Euskotren:StopPlace:2586:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2586_Vestibulo_H1:,,Atondoa,,"Calle Txiki Otaegi, 5 / Amorebieta-Etxano",43.221786,-2.734986,ES:Euskotren:Zone:6:,,3,ES:Euskotren:StopPlace:2586:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2587_Area_A1:,,Area 1,,"Calle de la Estación, 10 / Lemoa",43.207092,-2.775247,ES:Euskotren:Zone:6:,,3,ES:Euskotren:StopPlace:2587:,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Place:2587_Area_A2:,,Area 2,,"Calle de la Estación, 10 / Lemoa",43.207092,-2.775247,ES:Euskotren:Zone:6:,,3,ES:Euskotren:StopPlace:2587:,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Place:2587_Vestibulo_D1:,,Atondoa,,"Calle de la Estación, 10 / Lemoa",43.207165,-2.775422,ES:Euskotren:Zone:6:,,3,ES:Euskotren:StopPlace:2587:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2587_Vestibulo_H1:,,Atondoa,,"Calle de la Estación, 10 / Lemoa",43.207165,-2.775422,ES:Euskotren:Zone:6:,,3,ES:Euskotren:StopPlace:2587:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2589_Area_A1:,,Area 1,,"Paseo de Colón, 25 / Irun",43.341206,-1.796039,ES:Euskotren:Zone:43:,,3,ES:Euskotren:StopPlace:2589:,,2,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2589_Area_A2:,,Area 2,,"Paseo de Colón, 25 / Irun",43.341206,-1.796039,ES:Euskotren:Zone:43:,,3,ES:Euskotren:StopPlace:2589:,,1,ES:Euskotren:Level:Level:Minus1:,
ES:Euskotren:Place:2589_Area_A3:,,Area 3,,"Paseo de Colón, 25 / Irun",43.341206,-1.796039,ES:Euskotren:Zone:43:,,3,ES:Euskotren:StopPlace:2589:,,1,ES:Euskotren:Level:Level:Minus1:,
ES:Euskotren:Place:2589_Vestibulo_D1:,,Atondo Nagusia,,"Paseo de Colón, 25 / Irun",43.341206,-1.796039,ES:Euskotren:Zone:43:,,3,ES:Euskotren:StopPlace:2589:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2589_Vestibulo_D2:,,Atondo Nagusia,,"Paseo de Colón, 25 / Irun",43.341206,-1.796039,ES:Euskotren:Zone:43:,,3,ES:Euskotren:StopPlace:2589:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2589_Vestibulo_D3:,,Atondoa,,"Paseo de Colón, 25 / Irun",43.341206,-1.796039,ES:Euskotren:Zone:43:,,3,ES:Euskotren:StopPlace:2589:,,1,ES:Euskotren:Level:Level:Minus1:,
ES:Euskotren:Place:2589_Vestibulo_H1:,,Atondo Nagusia,,"Paseo de Colón, 25 / Irun",43.341206,-1.796039,ES:Euskotren:Zone:43:,,3,ES:Euskotren:StopPlace:2589:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Place:2589_Vestibulo_H2:,,Atondoa,,"Paseo de Colón, 25 / Irun",43.341206,-1.796039,ES:Euskotren:Zone:43:,,3,ES:Euskotren:StopPlace:2589:,,1,ES:Euskotren:Level:Level:0:,
