municipio,provincia,latitud,longitud
Abadiño,Bizkaia,43.15,-2.610278
Abanto Zierbena,Bizkaia,43.31688,-3.087678
Ajangiz,Bizkaia,43.301,-2.671
Alonsotegi,Bizkaia,43.24519,-2.988702
Amorebieta-Etxano,Bizkaia,43.2205,-2.733236
Amoroto,Bizkaia,43.3285,-2.5125
Arakaldo,Bizkaia,43.14955,-2.925086
Arantzazu,Bizkaia,43.1529,-2.79043
Areatza,Bizkaia,43.12108,-2.767771
Arrankudiaga,Bizkaia,43.1735,-2.917886
Arratzu,Bizkaia,43.31167,-2.638611
Arrieta,Bizkaia,43.34036,-2.769799
Arrigorriaga,Bizkaia,43.20752,-2.887839
Artea,Bizkaia,43.13372,-2.784141
Artzentales,Bizkaia,43.24055,-3.241389
Atxondo,Bizkaia,43.13034,-2.585079
Aulesti,Bizkaia,43.29609,-2.563355
Bakio,Bizkaia,43.42778,-2.811389
Balmaseda,Bizkaia,43.19287,-3.196942
Barakaldo,Bizkaia,43.29683,-2.985259
Barrika,Bizkaia,43.40638,-2.962425
Basauri,Bizkaia,43.23333,-2.883333
Bedia,Bizkaia,43.20937,-2.804965
Berango,Bizkaia,43.3659,-2.996356
Bermeo,Bizkaia,43.42042,-2.722158
Berriatua,Bizkaia,43.31667,-2.466667
Berriz,Bizkaia,43.18817,-2.593
Bilbao,Bizkaia,43.25696,-2.923441
Busturia,Bizkaia,43.383,-2.697
Derio,Bizkaia,43.302,-2.881833
Dima,Bizkaia,43.14339,-2.751464
Durango,Bizkaia,43.16907,-2.632655
Ea,Bizkaia,43.38013,-2.585593
Elantxobe,Bizkaia,43.40342,-2.6398
Elorrio,Bizkaia,43.13039,-2.542155
Erandio,Bizkaia,43.30746,-2.946418
Ereño,Bizkaia,43.35695,-2.621667
Ermua,Bizkaia,43.18664,-2.502607
Errigoiti,Bizkaia,43.31871,-2.725344
Etxebarri,Bizkaia,43.24718,-2.890139
Etxebarria,Bizkaia,43.25415,-2.477354
Forua,Bizkaia,43.33371,-2.678589
Fruiz,Bizkaia,43.32889,-2.783333
Galdakao,Bizkaia,43.23056,-2.845833
Galdames,Bizkaia,43.266,-3.094
Gamiz-Fika,Bizkaia,43.31173,-2.810701
Garai,Bizkaia,43.19472,-2.609722
Gatika,Bizkaia,43.36389,-2.871944
Gautegiz Arteaga,Bizkaia,43.3531,-2.650985
Gernika-Lumo,Bizkaia,43.31707,-2.678975
Getxo,Bizkaia,43.36229,-3.012567
Gizaburuaga,Bizkaia,43.33222,-2.536111
Gordexola,Bizkaia,43.17989,-3.071129
Gorliz,Bizkaia,43.41667,-2.933333
Güeñes,Bizkaia,43.21032,-3.095317
Ibarrangelu,Bizkaia,43.39022,-2.633802
Igorre,Bizkaia,43.16583,-2.776111
Ispaster,Bizkaia,43.36295,-2.544635
Iurreta,Bizkaia,43.1767,-2.633777
Izurtza,Bizkaia,43.15227,-2.641978
Karrantza Harana,Bizkaia,43.22528,-3.359444
Kortezubi,Bizkaia,43.33598,-2.654319
Lanestosa,Bizkaia,43.22117,-3.439148
Larrabetzu,Bizkaia,43.26097,-2.796175
Laukiz,Bizkaia,43.35333,-2.906111
Leioa,Bizkaia,43.3261,-2.987704
Lekeitio,Bizkaia,43.36551,-2.503344
Lemoa,Bizkaia,43.20876,-2.774117
Lemoiz,Bizkaia,43.41324,-2.902253
Lezama,Bizkaia,43.27217,-2.832167
Loiu,Bizkaia,43.315,-2.938333
Mallabia,Bizkaia,43.18965,-2.529969
Markina-Xemein,Bizkaia,43.2706,-2.497155
Maruri-Jatabe,Bizkaia,43.38277,-2.874989
Mendata,Bizkaia,43.28333,-2.633333
Mendexa,Bizkaia,43.34639,-2.483333
Morga,Bizkaia,43.29793,-2.752739
Mundaka,Bizkaia,43.40733,-2.698322
Mungia,Bizkaia,43.35441,-2.846714
Munitibar-Arbatzegi Gerrikaitz,Bizkaia,43.26533,-2.591845
Murueta,Bizkaia,43.35446,-2.684153
Muskiz,Bizkaia,43.31667,-3.116667
Muxika,Bizkaia,43.28967,-2.692941
Nabarniz,Bizkaia,43.3216,-2.5844
Ondarroa,Bizkaia,43.3207,-2.420475
Orozko,Bizkaia,43.10861,-2.911111
Ortuella,Bizkaia,43.31137,-3.055952
Otxandio,Bizkaia,43.04045,-2.654584
Plentzia,Bizkaia,43.40443,-2.950102
Portugalete,Bizkaia,43.32066,-3.020252
Santurtzi,Bizkaia,43.32871,-3.031772
Sestao,Bizkaia,43.30964,-3.00694
Sondika,Bizkaia,43.30047,-2.924341
Sopelana,Bizkaia,43.37892,-2.983002
Sopuerta,Bizkaia,43.26278,-3.1525
Sukarrieta,Bizkaia,43.39534,-2.696367
Trucios-Turtzioz,Bizkaia,43.27268,-3.288546
Ubide,Bizkaia,43.02683,-2.688209
Ugao-Miraballes,Bizkaia,43.17999,-2.902508
Urduliz,Bizkaia,43.37967,-2.962
Orduña,Bizkaia,42.99445,-3.009623
Usansolo,Bizkaia,43.219833,-2.817831
Valle de Trapagaran,Bizkaia,43.30311,-3.035548
Zaldibar,Bizkaia,43.17097,-2.54713
Zalla,Bizkaia,43.21401,-3.135223
Zamudio,Bizkaia,43.28333,-2.866667
Zaratamo,Bizkaia,43.21151,-2.873626
Zeanuri,Bizkaia,43.09966,-2.749615
Zeberio,Bizkaia,43.15278,-2.852778
Zierbena,Bizkaia,43.34766,-3.086152
Ziortza-Bolibar,Bizkaia,43.24982,-2.550174
Abaltzisketa,Gipuzkoa,43.04758,-2.105388
Aduna,Gipuzkoa,43.20379,-2.050079
Aia,Gipuzkoa,43.23692,-2.149008
Aizarnazabal,Gipuzkoa,43.25541,-2.236461
Albiztur,Gipuzkoa,43.12972,-2.13718
Alegia,Gipuzkoa,43.10002,-2.096273
Alkiza,Gipuzkoa,43.17244,-2.109436
Altzaga,Gipuzkoa,43.06449,-2.153833
Altzo,Gipuzkoa,43.10007,-2.083905
Amezketa,Gipuzkoa,43.04452,-2.083235
Andoain,Gipuzkoa,43.22048,-2.021122
Anoeta,Gipuzkoa,43.16147,-2.070695
Antzuola,Gipuzkoa,43.09944,-2.381747
Arama,Gipuzkoa,43.06364,-2.165558
Aretxabaleta,Gipuzkoa,43.03625,-2.504542
Arrasate,Gipuzkoa,43.06451,-2.487716
Asteasu,Gipuzkoa,43.1952,-2.097548
Astigarraga,Gipuzkoa,43.28065,-1.94756
Ataun,Gipuzkoa,43.0,-2.166667
Azkoitia,Gipuzkoa,43.1782,-2.31164
Azpeitia,Gipuzkoa,43.1839,-2.265466
Baliarrain,Gipuzkoa,43.06931,-2.129235
Beasain,Gipuzkoa,43.04708,-2.204605
Beizama,Gipuzkoa,43.13419,-2.200113
Belauntza,Gipuzkoa,43.13528,-2.050705
Berastegi,Gipuzkoa,43.12403,-1.979426
Bergara,Gipuzkoa,43.11822,-2.413358
Berrobi,Gipuzkoa,43.14548,-2.026374
Bidegoian,Gipuzkoa,43.13968,-2.169585
Deba,Gipuzkoa,43.29556,-2.353894
Donostia-San SebastiÃ¡n,Gipuzkoa,43.32074,-1.984421
Eibar,Gipuzkoa,43.18418,-2.473289
Elduain,Gipuzkoa,43.14071,-2.000488
Elgeta,Gipuzkoa,43.13657,-2.487392
Elgoibar,Gipuzkoa,43.21519,-2.415703
Errenteria,Gipuzkoa,43.31275,-1.899633
Errezil,Gipuzkoa,43.16467,-2.173594
Eskoriatza,Gipuzkoa,43.01707,-2.52698
Ezkio-Itsaso,Gipuzkoa,43.08194,-2.274167
Gabiria,Gipuzkoa,43.04969,-2.279856
Gaintza,Gipuzkoa,43.05263,-2.13237
Gaztelu,Gipuzkoa,43.11658,-2.022278
Getaria,Gipuzkoa,43.30326,-2.204363
Hernani,Gipuzkoa,43.26755,-1.975814
Hernialde,Gipuzkoa,43.15447,-2.085025
Hondarribia,Gipuzkoa,43.36253,-1.791498
Ibarra,Gipuzkoa,43.054,-2.566
Idiazabal,Gipuzkoa,43.01178,-2.234214
Ikaztegieta,Gipuzkoa,43.09496,-2.1239
Irun,Gipuzkoa,43.33823,-1.789272
Irura,Gipuzkoa,43.16569,-2.069617
Itsasondo,Gipuzkoa,43.06693,-2.167393
Larraul,Gipuzkoa,43.18774,-2.102534
Lasarte-Oria,Gipuzkoa,43.26746,-2.020169
Lazkao,Gipuzkoa,43.03432,-2.187379
Leaburu,Gipuzkoa,43.12498,-2.052106
Legazpi,Gipuzkoa,43.05436,-2.333641
Legorreta,Gipuzkoa,43.08579,-2.150909
Leintz-Gatzaga,Gipuzkoa,42.98711,-2.568626
Lezo,Gipuzkoa,43.32113,-1.898775
Lizartza,Gipuzkoa,43.10372,-2.034254
Mendaro,Gipuzkoa,43.26417,-2.3755
Mutiloa,Gipuzkoa,43.02238,-2.272826
Mutriku,Gipuzkoa,43.30707,-2.385083
Oiartzun,Gipuzkoa,43.29928,-1.857874
Olaberria,Gipuzkoa,43.02708,-2.203089
Ordizia,Gipuzkoa,43.0542,-2.178116
Orendain,Gipuzkoa,43.07972,-2.11429
Orexa,Gipuzkoa,43.09388,-2.011392
Orio,Gipuzkoa,43.27832,-2.126597
Ormaiztegi,Gipuzkoa,43.04274,-2.255848
Oñati,Gipuzkoa,43.03289,-2.411348
Pasaia,Gipuzkoa,43.32528,-1.921111
Segura,Gipuzkoa,43.00922,-2.252519
Soraluze,Gipuzkoa,43.17543,-2.412494
Tolosa,Gipuzkoa,43.13698,-2.073914
Urnieta,Gipuzkoa,43.2482,-1.990517
Urretxu,Gipuzkoa,43.09228,-2.314383
Usurbil,Gipuzkoa,43.27138,-2.049934
Villabona,Gipuzkoa,43.18995,-2.052454
Zaldibia,Gipuzkoa,43.03796,-2.150894
Zarautz,Gipuzkoa,43.28036,-2.171588
Zegama,Gipuzkoa,42.97568,-2.290072
Zerain,Gipuzkoa,43.01212,-2.274118
Zestoa,Gipuzkoa,43.23944,-2.258113
Zizurkil,Gipuzkoa,43.19952,-2.074074
Zumaia,Gipuzkoa,43.29726,-2.256849
Zumarraga,Gipuzkoa,43.09048,-2.31322
Alegría-Dulantzi,42.8415,-2.5127
Amurrio,43.0522,-3.0001
Añana,42.8021,-2.9864
Aramaio,43.0545,-2.5652
Armiñón,42.7236,-2.8719
Arraia-Maeztu,42.7390,-2.4459
Arratzua-Ubarrundia,42.8903,-2.6408
Artziniega,43.1216,-3.1280
Asparrena,42.8932,-2.3168
Aiara,43.0789,-3.0639
Baños de Ebro,42.5304,-2.6785
Barrundia,42.9157,-2.4970
Berantevilla,42.6825,-2.8601
Bernedo,42.6264,-2.4979
Campezo,42.6690,-2.3515
Elburgo,42.8495,-2.5442
Elciego,42.5157,-2.6186
Elvillar,42.5707,-2.5444
Iruña de Oca,42.8151,-2.8128
Iruraiz-Gauna,42.8184,-2.4940
Kripan,42.5917,-2.5152
Kuartango,42.8714,-2.8861
Labastida,42.5898,-2.7957
Lagrán,42.6257,-2.5835
Laguardia,42.5544,-2.5857
Lanciego,42.5620,-2.5120
Lantarón,42.7164,-2.9901
Lapuebla de Labarca,42.4944,-2.5751
Legutio,42.9790,-2.6423
Leza,42.5665,-2.6337
Laudio,43.1431,-2.9625
Moreda de Álava,42.5267,-2.4089
Navaridas,42.5454,-2.6263
Okondo,43.1530,-3.0261
Oyón-Oion,42.5051,-2.4374
Peñacerrada-Urizaharra,42.6442,-2.7130
Ribera Alta,42.7740,-2.9144
Ribera Baja,42.7135,-2.9189
Salvatierra-Agurain,42.8516,-2.3892
Samaniego,42.5684,-2.6795
San Millán,42.8741,-2.3773
Urkabustaiz,42.9566,-2.8990
Valdegovía,42.8479,-3.0982
Valle de Arana,42.7269,-2.3335
Villabuena de Álava,42.5479,-2.6650
Vitoria-Gasteiz,42.8467,-2.6727
Yécora,42.5696,-2.4705
Zalduondo,42.8869,-2.3464
Zambrana,42.6612,-2.8792
Zigoitia,42.9694,-2.7281
Zuia,42.9563,-2.8187
